,Job_URL,Date_Posted,Job_Title,Location
110,https://www.merckgroup.com/en/careers/jobs/270630.html?location=Germany&state=Hessen&city=Darmstadt&functionalarea=Regulatory Affairs,Posted 09 Jan 2024,Senior Regulatory Business Transformation Manager,"Darmstadt, Hessen, Germany"
111,https://www.merckgroup.com/en/careers/jobs/270464.html?location=United States&state=Missouri&city=St. Louis&functionalarea=Supply Chain,Posted 09 Jan 2024,Warehouse Operator 2 - 1st Shift,"St. Louis, Missouri, United States"
112,https://www.merckgroup.com/en/careers/jobs/270234.html?location=Germany&state=Hessen&city=Darmstadt&functionalarea=Data Analytics & Digital Business,Posted 09 Jan 2024,Research Data Scientist (all genders),"Darmstadt, Hessen, Germany"
113,https://www.merckgroup.com/en/careers/jobs/270017.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Human Resources,Posted 09 Jan 2024,Global Mobility Process Manager,"Bonifacio Global City, Metro Manila, Philippines"
114,https://www.merckgroup.com/en/careers/jobs/270015.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Human Resources,Posted 09 Jan 2024,Global Mobility Specialist,"Bonifacio Global City, Metro Manila, Philippines"
115,https://www.merckgroup.com/en/careers/jobs/270757.html?location=United Kingdom&state=Stirling&city=Stirling&functionalarea=Quality,Posted 09 Jan 2024,Quality Specialist I (Stirling)),"Stirling, Stirling, United Kingdom"
116,https://www.merckgroup.com/en/careers/jobs/270739.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Regulatory Affairs,Posted 09 Jan 2024,Analyst- SDS Author,"Bangalore, Karnataka, India"
117,https://www.merckgroup.com/en/careers/jobs/270991.html?location=Ireland&state=Wicklow&city=Arklow&functionalarea=Engineering & Skilled Trade,Posted 09 Jan 2024,Plant/Projects Engineer,"Arklow, Wicklow, Ireland"
118,https://www.merckgroup.com/en/careers/jobs/270790.html?location=France&state=Bas-Rhin&city=Molsheim&functionalarea=Manufacturing,Posted 09 Jan 2024,Stagiaire Chef de projet industriel f/h,"Molsheim, Bas-Rhin, France"
119,https://www.merckgroup.com/en/careers/jobs/265911.html?location=Germany&state=Hessen&city=Gernsheim&functionalarea=Engineering & Skilled Trade,Posted 09 Jan 2024,Techniker / Meister (m/w/d) Automatisierungs-/ Elektrotechnik,"Gernsheim, Hessen, Germany"
